filename,filesize,modified,errors,md5,namespace,id,format,version,mime,basis,warning
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Arjunapermal] RIMES.doc,71168,2015-09-10T10:50:22-04:00,,280102133da96f23411ef77fbf7858c2,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 72, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Arjunapermal]AdaptationDeficit.doc,149504,2015-09-10T10:50:22-04:00,,004431771d152a552d014cf89a15e91c,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 72, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Arjunapermal]CFACFAB.doc,545792,2015-09-10T10:50:22-04:00,,cdb41b3d85a2c4f39bfc94aed463d028,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 72, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Arjunapermal]WILBYTABLE.doc,214016,2015-09-10T10:50:24-04:00,,76bc0b4fb9c95930e93513a9932b7002,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 72, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Arjunapermal]globalrice.doc,62464,2015-09-10T10:50:24-04:00,,8a6c67ee2e545a0e451ac2e25c88f25b,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 72, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Cardona]Friendly reviewer text suggested to Chap 1.doc,83968,2015-09-10T10:50:24-04:00,,150ca1724a74ced30a9f092bdd5db2a7,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 89, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Clot]Focus09_2_e.pdf,589781,2015-09-10T10:50:24-04:00,,9369c76802afdea89d2bca1fa288af4f,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,extension match pdf; byte match at [[0 8] [589775 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Clot]ISDR_Gender-Perspectives-Integrating-DRR-CC.pdf,3450490,2015-09-10T10:50:24-04:00,,1a26e80100d20c35e82a6a8804755c6d,pronom,fmt/20,Acrobat PDF 1.6 - Portable Document Format,1.6,application/pdf,extension match pdf; byte match at [[0 8] [3450483 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Clot]Mali2007 San Bogossoni.PDF,1150502,2015-09-10T10:50:24-04:00,,1b51d57cc2011ad8a34caf89483367a5,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,extension match pdf; byte match at [[0 8] [1150496 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Clot]Mali2007_San_Bogossoni_nicole_clot_IC (22).JPG,1848393,2015-09-10T10:50:24-04:00,,88a7517d71b6696517284eb705a21735,pronom,x-fmt/391,Exchangeable Image File Format (Compressed),2.2,image/jpeg,extension match jpg; byte match at [[0 16] [346 12] [1848391 2]] (signature 2/2),
